Colonnes,Nb valeurs différentes de 'N',Chiffres ou Autre,Moyenne,Écart-type
Carbon concentration,1652,chiffres,0.07552148910411569,0.023898102724528216
Silicon concentration,1652,chiffres,0.3285774818401929,0.11245513832578681
Manganese concentration,1652,chiffres,1.2028208232445536,0.38213675678550285
Sulphur concentration,1648,chiffres,0.009529126213592164,0.011226340619487928
Phosphorus concentration,1642,chiffres,0.012952496954932991,0.019626840163962832
Nickel concentration,697,chiffres,0.41503443328550815,0.7869509755334894
Chromium concentration,784,chiffres,2.1012729591836696,3.026547797045215
Molybdenum concentration,793,chiffres,0.47917150063051783,0.47740366931946876
Vanadium concentration,928,chiffres,0.09737887931034533,0.492889187593997
Copper concentration,578,chiffres,0.17216262975778532,0.3229327392739534
Cobalt concentration,129,chiffres,0.07102325581395344,0.35373492602857554
Tungsten concentration,75,chiffres,0.13426666666666662,0.4549581903372606
Oxygen concentration,1256,chiffres,441.9673566878981,147.48382492612544
Titanium concentration,935,chiffres,80.56434224598921,97.08635348464198
Nitrogen concentration,1242,autre,N,N
Aluminium concentration,905,chiffres,102.34722651933694,141.47404281281933
Boron concentration,504,chiffres,7.878968253968254,9.542165195972194
Niobium concentration,752,chiffres,134.03590425531914,228.68663989927677
Tin concentration,296,chiffres,42.17098648648648,89.07505771978403
Arsenic concentration,234,chiffres,31.044726495726458,43.00302595743342
Antimony concentration,260,chiffres,29.45607692307689,36.78279577798602
Current,1404,chiffres,283.84366096866097,192.56095467185438
Voltage,1404,chiffres,27.607378917378977,12.555629087302433
AC or DC,1437,autre,N,N
Electrode positive or negative,1496,autre,N,N
Heat input,1652,chiffres,1.700986682808717,1.2984648641594818
Interpass temperature,1652,autre,N,N
Type of weld,1652,autre,N,N
Post weld heat treatment temperature,1639,chiffres,304.6741915802318,285.4980033227644
Post weld heat treatment time,1639,chiffres,5.049652226967662,6.096033934654494
Yield strength,780,chiffres,508.55717948717944,92.86544609294778
Ultimate tensile strength,738,chiffres,594.3863143631436,88.63623778269309
Elongation ,700,chiffres,26.275714285714265,4.895986377412323
Reduction of Area,705,chiffres,71.79985815602842,8.926550825427622
Charpy temperature,879,chiffres,-34.60637087599545,34.73862384580832
Charpy impact toughness,879,chiffres,87.68941979522184,50.11669993430685
Hardness,138,autre,N,N
50 % FATT ,31,chiffres,-31.096774193548388,43.64428548978639
Primary ferrite in microstructure,98,chiffres,19.1734693877551,10.982671928297785
Ferrite with second phase,90,chiffres,25.955555555555556,21.28348577047056
Acicular ferrite,90,chiffres,52.833333333333336,23.483797905043897
Martensite,89,chiffres,0.33707865168539325,3.1799936400190765
Ferrite with carbide aggreagate,89,chiffres,0.43820224719101125,1.397685230688871
Weld ID,1652,autre,N,N
